Título,Institución,País
PostDoc. Ciencia de la Computación,ICMC-USP,Brasil
Dr. Ciencia de la Computación,ICMC-USP,Brasil
Mag. Ciencia de la Computación,ICMC-USP,Brasil
Postdoc. Ciencia de Datos,Center for the Study of Violence-USP,Brasil
Ingeniero Informático,Universidad Católica San Pablo,Perú
Bachiller en Ingeniería de Sistemas,Universidad Nacional San Agustín,Perú
Dr. Ciencia de la Computación,Universidade de Sao Paulo,Brasil
Mag. Ciencia de la Computación,Universidade Federal de Mato Grosso do Sul - UFMS,Brasil
Bachiller en Ciencias Matemática,Universidad Nacional de Ingeniería,Perú
Dr. Informática y Ciencia de la Computación,Université de Pau et des Pays de l'Adour,Francia
Mag. Administración de Negocios,Mondragón Unibertsitatea,España
Ingeniera Informática,Universidad Católica San Pablo,Perú
Mag. Ciencias en Internetworking,University of Technology Sydney,Australia
Dr. Ingeniería Eléctrica,Pontificia Universidad Católica de Rio de Janeiro,Brasil
Mag. Ingeniería Eléctrica,Pontificia Universidad Católica de Rio de Janeiro,Brasil
